Round,Date,Grand Prix,Location
1,16–18 Mar,Australian Grand Prix,"Melbourne, Australia"
2,21–23 Mar,Chinese Grand Prix,"Shanghai, China"
3,4–6 Apr,Japanese Grand Prix,"Suzuka, Japan"
4,11–13 Apr,Bahrain Grand Prix,"Sakhir, Bahrain"
5,18–20 Apr,Saudi Arabian Grand Prix,"Jeddah, Saudi Arabia"
6,2–4 May,Miami Grand Prix,"Miami, USA"
7,16–18 May,Emilia‑Romagna Grand Prix,"Imola, Italy"
8,23–25 May,Monaco Grand Prix,"Monte Carlo, Monaco"
9,30 May–1 Jun,Spanish Grand Prix,"Barcelona, Spain"
10,13–15 Jun,Canadian Grand Prix,"Montreal, Canada"
11,27–29 Jun,Austrian Grand Prix,"Spielberg, Austria"
12,4–6 Jul,British Grand Prix,"Silverstone, UK"
13,25–27 Jul,Belgian Grand Prix,"Spa‑Francorchamps, Belgium"
14,1–3 Aug,Hungarian Grand Prix,"Budapest, Hungary"
15,29–31 Aug,Dutch Grand Prix,"Zandvoort, Netherlands"
16,5–7 Sep,Italian Grand Prix,"Monza, Italy"
17,19–21 Sep,Azerbaijan Grand Prix,"Baku, Azerbaijan"
18,3–5 Oct,Singapore Grand Prix,"Marina Bay, Singapore"
19,17–19 Oct,United States Grand Prix,"Austin, USA"
20,24–26 Oct,Mexico City Grand Prix,"Mexico City, Mexico"
21,7–9 Nov,São Paulo Grand Prix,"São Paulo, Brazil"
22,20–22 Nov,Las Vegas Grand Prix,"Las Vegas, USA"
23,28–30 Nov,Qatar Grand Prix,"Lusail, Qatar"
24,5–7 Dec,Abu Dhabi Grand Prix,"Yas Marina, Abu Dhabi"
