name,dateOfBirth,placeOfBirth,countryOfBirth,Latitude,Longitude,OpenCage Note,Timezone Offset,tzOffsetCode,gender
Alexander Albon,1996-03-23,London,united-kingdom,51.5074456,-0.1277653,ok,+0100,1,MALE
Alexander Dunne,2005-11-11,Offaly,ireland,53.1361722,-7.8103408,ok,+0100,1,MALE
Arvid Lindblad,2007-08-08,Virginia Water,united-kingdom,51.4033624,-0.5661711,ok,+0100,1,MALE
Ayumu Iwasa,2001-09-22,Moriguchi,japan,34.735816,135.5617277,ok,+0900,9,MALE
Carlos Sainz Jr.,1994-09-01,Madrid,spain,40.4167047,-3.7035825,ok,+0200,2,MALE
Charles Leclerc,1997-10-16,Monte Carlo,monaco,43.7402961,7.426559,ok,+0200,2,MALE
Dino Beganovic,2004-01-19,Linköping,sweden,58.4098135,15.6245252,ok,+0200,2,MALE
Esteban Ocon,1996-09-17,Évreux,france,49.0268903,1.1510164,ok,+0200,2,MALE
Felipe Drugovich,2000-05-23,Maringá,brazil,-23.425269,-51.9382078,ok,-0300,-3,MALE
Fernando Alonso,1981-07-29,Oviedo,spain,43.3618625,-5.8483581,ok,+0200,2,MALE
Franco Colapinto,2003-05-27,Pilar,argentina,-34.4570918,-58.9141609,ok,-0300,-3,MALE
Frederik Vesti,2002-01-13,Langelund,denmark,55.8052689,9.1033608,ok,+0200,2,MALE
Gabriel Bortoleto,2004-10-14,Osasco,brazil,-23.5352768,-46.7882797,ok,-0300,-3,MALE
George Russell,1998-02-15,King's Lynn,united-kingdom,52.7538673,0.3954774,ok,+0100,1,MALE
Isack Hadjar,2004-09-28,Paris,france,48.8588897,2.320041,ok,+0200,2,MALE
Jack Doohan,2003-01-20,Gold Coast,australia,-28.0023731,153.4145987,ok,+1000,10,MALE
Kimi Antonelli,2006-08-25,Bologna,italy,44.4938203,11.3426327,ok,+0200,2,MALE
Lance Stroll,1998-10-29,Montreal,canada,45.5031824,-73.5698065,ok,-0400,-4,MALE
Lando Norris,1999-11-13,Bristol,united-kingdom,51.4538022,-2.5972985,ok,+0100,1,MALE
Lewis Hamilton,1985-01-07,Stevenage,united-kingdom,51.9016663,-0.2027155,ok,+0100,1,MALE
Liam Lawson,2002-02-11,Hastings,new-zealand,-39.6417678,176.8430781,ok,+1300,13,MALE
Luke Browning,2002-01-31,Kingsley,united-kingdom,53.2691082,-2.6743392,ok,+0100,1,MALE
Max Verstappen,1997-09-30,Hasselt,belgium,50.9303735,5.3378043,ok,+0200,2,MALE
Nico Hülkenberg,1987-08-19,Emmerich am Rhein,germany,51.8322137,6.2428283,ok,+0200,2,MALE
Oliver Bearman,2005-05-08,Havering,united-kingdom,51.5579262,0.2498128,ok,+0100,1,MALE
Oscar Piastri,2001-04-06,Melbourne,australia,-37.8142454,144.9631732,ok,+1100,11,MALE
Paul Aron,2004-02-04,Tallinn,estonia,59.4372419,24.7572802,ok,+0300,3,MALE
Pierre Gasly,1996-02-07,Rouen,france,49.4404591,1.0939658,ok,+0200,2,MALE
Ryō Hirakawa,1994-03-07,Kure,japan,34.2484488,132.5652498,ok,+0900,9,MALE
Victor Martins,2001-06-16,Quincy-sous-Sénart,france,48.6712928,2.5405195,ok,+0200,2,MALE
Yuki Tsunoda,2000-05-11,Sagamihara,japan,35.5714621,139.3731052,ok,+0900,9,MALE
